rxns	rxnnames	subsystems	keggid	reactomeid	fbasolutiontissuev
HYPOE	Hypothetical enyme	Vitamin B6 metabolism	R02494		0
ICDHyr	Isocitrate dehydrogenase (NADP)	Citric acid cycle	R00267		0
ICDHyp	Isocitrate dehydrogenase  NADP 	Citric acid cycle	R00267		0
ICDHym	Isocitrate dehydrogenase  NADP 	Citric acid cycle	R00267		-1000
IDHPOXOX2b	Iodide:hydrogen-peroxide oxidoreductase 2	Tyrosine metabolism			0
IDHPOXOX3	Iodide:hydrogen-peroxide oxidoreductase 3	Tyrosine metabolism			0
IDHPOXOX4	Iodide:hydrogen-peroxide oxidoreductase 4	Tyrosine metabolism			0
IDHPOXOXb	Iodide:hydrogen-peroxide oxidoreductase	Tyrosine metabolism			0
IDOAASE1ly	Alpha-L-iduronidase, lysosomal	Heparan sulfate degradation			-0
IDOAASE2ly	Alpha-L-iduronidase, lysosomal	Heparan sulfate degradation			-0
IDOAASE3ly	Alpha-L-iduronidase, lysosomal	Heparan sulfate degradation			-0
IDOAASE4ly	Alpha-L-iduronidase, lysosomal	Chondroitin sulfate degradation			0
IDOURtly	Iduronate transport into lysososme	Transport, lysosomal			0
IDPtn	IDP nuclear transport	Transport, nuclear			1000
ILETAm	Isoleucine transaminase  mitochondrial	Valine, leucine, and isoleucine metabolism	R02199		-667.349717830341
ILEtec	L-isoleucine transport via diffusion (extracellular to cytosol)	Transport, extracellular			-1000
INOSTO	Myo-Inositol:oxygen oxidoreductase	Inositol phosphate metabolism	R01184		0
INSt	Inosine transport (diffusion)	Transport, extracellular			1000
INSt4	Inosine transport in via sodium symport	Transport, extracellular			0
INSTt2	Inositol transport in via proton symport	Transport, extracellular		R-ATH-429101; R-BTA-429101; R-CEL-429101; R-CFA-429101; R-DRE-429101; R-GGA-429101; R-HSA-429101; R-MMU-429101; R-OSA-429101; R-RNO-429101; R-SCE-429101; R-SPO-429101; R-SSC-429101; R-TGU-429101; R-XTR-429101	517.120787264672
IPDDIx	Isopentenyl-diphosphate D-isomerase	Cholesterol metabolism	R01123	R-ATH-191382; R-BTA-191382; R-CEL-191382; R-CFA-191382; R-DDI-191382; R-DME-191382; R-DRE-191382; R-GGA-191382; R-HSA-191382; R-MMU-191382; R-OSA-191382; R-RNO-191382; R-SCE-191382; R-SPO-191382; R-SSC-191382; R-TGU-191382; R-XTR-191382	0
ITPtn	ITP nuclear transport	Transport, nuclear			0
KCCt	K+-Cl- cotransport	Transport, extracellular		R-ATH-426155; R-BTA-426155; R-CEL-426155; R-CFA-426155; R-DME-426155; R-DRE-426155; R-GGA-426155; R-HSA-426155; R-MMU-426155; R-OSA-426155; R-RNO-426155; R-SCE-426155; R-SSC-426155; R-TGU-426155; R-XTR-426155	1000
KHK	Ketohexokinase	Fructose and mannose metabolism	R00866		0
KHK2	Ketohexokinase (D-xylulose)	Glyoxylate and dicarboxylate metabolism			-0
KHK3	Ketohexokinase (D-tagatose)	Galactose metabolism			0
KYNAKGAT	L-Kynurenine:2-oxoglutarate aminotransferase	Tryptophan metabolism			1000
KYNATESYN	4-(2-Aminophenyl)-2,4-dioxobutanoate dehydratase	Tryptophan metabolism			1000
LACZe	B-galactosidase, extracellular	Galactose metabolism	R01100; R06114		-0
LAPCOAl	Lysosomal acid phosphorylase (CoA)	CoA catabolism			-0
LCADi_D	Lactaldehyde dehydrogenase	Pyruvate metabolism	R01735		0
LCADm	Lactaldehyde dehydrogenase, mitochondrial	Pyruvate metabolism	R01446		-0
LCYSTCBOXL	3-Sulfoalanine carboxy-lyase	Taurine and hypotaurine metabolism	R01682		-0
LDH_Lm	L-lactate dehydrogenase, mitochondria	Pyruvate metabolism	R00703	R-ATH-6807826; R-ATH-70510; R-ATH-71849; R-BTA-70510; R-BTA-71849; R-CEL-6807826; R-CEL-70510; R-CEL-71849; R-CFA-70510; R-CFA-71849; R-DME-6807826; R-DME-70510; R-DME-71849; R-DRE-6807826; R-DRE-70510; R-DRE-71849; R-GGA-372903; R-GGA-372910; R-GGA-6807826; R-GGA-70510; R-GGA-71849; R-HSA-6807826; R-HSA-70510; R-HSA-71849; R-MMU-6807826; R-MMU-70510; R-MMU-71849; R-OSA-6807826; R-OSA-70510; R-OSA-71849; R-PFA-6807826; R-PFA-70510; R-PFA-71849; R-RNO-70510; R-RNO-71849; R-SPO-6807826; R-SPO-70510; R-SPO-71849; R-SSC-6807826; R-SSC-70510; R-SSC-71849; R-TGU-6807826; R-TGU-70510; R-TGU-71849; R-XTR-6807826; R-XTR-70510; R-XTR-71849	0
LEUKTRA4t	Leukotriene A4 transmembrane (homo sapiens) transport	Transport, extracellular			-1000
LEUKTRB4t	Leukotriene B4 transmembrane (homo sapiens) transport	Transport, extracellular			-13.7
LEUKTRB4tr	Leukotriene intracellular transport	Transport, endoplasmic reticular			-13.7
LEUKTRC4t	Leukotriene C4 transport via bicarbonate countertransport	Transport, extracellular			-1000
LEUKTRD4t	Leukotriene D4 transport	Transport, extracellular			1000
LEUKTRE4t	Leukotriene E4 transport	Transport, extracellular			1000
LEUKTRF4t	Leukotriene F4 transport	Transport, extracellular			-0
LEUt4	L-leucine transport in via sodium symport	Transport, extracellular			0
LEUt5m	Leucine mitochondrial transport	Transport, mitochondrial			-835.982686428271
LEUTAm	Leucine transaminase  mitochondrial	Valine, leucine, and isoleucine metabolism	R01090		-835.982686428271
LEUtec	L-leucine transport via diffusion	Transport, extracellular			-1000
LGNCt	Fatty acid transport via diffusion	Transport, extracellular			-1000
L_LACDcm	L-Lactate dehydrogenase, cytosolic/mitochondrial	Pyruvate metabolism			242.009764008971
L_LACtcm	L-lactate transport via diffusion (cytosol to mitochondria)	Transport, mitochondrial			0
LNELDCCPT1	Carnitine O-palmitoyltransferase	Fatty acid oxidation			0
LNELDCCRNt	Transport into the mitochondria (carnitine)	Fatty acid oxidation			1000
LNLCCPT1	Carnitine O-palmitoyltransferase	Fatty acid oxidation			0
LNLCCRNt	Transport into the mitochondria (carnitine)	Fatty acid oxidation			1000
LNLCt	Linoleic acid (n-C18:2) transport in via diffusion	Transport, extracellular			0
LNLNCACPT1	Carnitine O-palmitoyltransferase	Fatty acid oxidation			0
LNLNCACRNt	Transport into the mitochondria (carnitine)	Fatty acid oxidation			0
LNLNCAt	Fatty acid transport via diffusion	Transport, extracellular			0
LNLNCGCPT1	Carnitine O-palmitoyltransferase	Fatty acid oxidation			0
LNLNCGCRNt	Transport into the mitochondria (carnitine)	Fatty acid oxidation			1000
LNLNCGt	Fatty acid transport via diffusion	Transport, extracellular			0
LNS14DM	Cytochrome P450 lanosterol 14 alpha demethylase  NADP 	Cholesterol metabolism			-0
LPASE	Lysophospholipase	Glycerophospholipid metabolism			-0
LPS	Lipase	Triacylglycerol synthesis			0
LPS2	Lipase	Triacylglycerol synthesis			0
LPS2e	Lipase, extracellular	Fatty acid oxidation			0
LPS3e	Lipase, extracellular	Fatty acid oxidation			0
LPS4e	Phospholipase	Triacylglycerol synthesis			0
LRAT	Lecithin retinol acyltransferase	Vitamin A metabolism			0
LSTO2r	Lathosterol oxidase	Cholesterol metabolism			0
LTC4CP	Leukotriene C4 carboxypeptidase	Eicosanoid metabolism			-1000
LTC4Sr	Leukotriene C4 synthase	Eicosanoid metabolism	R03059	R-BTA-266050; R-CFA-266050; R-DRE-266050; R-GGA-266050; R-HSA-266050; R-MMU-266050; R-RNO-266050; R-SSC-266050; R-TGU-266050; R-XTR-266050	0
LYSt4	L-lysine transport in via sodium symport	Transport, extracellular			0
LYSt5r	LYStiDF	Transport, extracellular			0
LYStm	Lysine mitochondrial transport via ornithine carrier	Transport, mitochondrial			0
MACACI	Maleylacetoacetate isomerase	Tyrosine metabolism	R03181	R-ATH-71173; R-BTA-71173; R-CEL-71173; R-CFA-71173; R-DDI-71173; R-DME-71173; R-DRE-71173; R-GGA-71173; R-HSA-71173; R-MMU-71173; R-OSA-71173; R-RNO-71173; R-SSC-71173; R-TGU-71173; R-XTR-71173	0
MACOXO	3-Methylimidazole acetaldehyde:NAD+ oxidoreductase	Histidine metabolism			0
MALSO3tm	Malate:sulfite antiport, mitochondrial	Transport, mitochondrial			-1000
MALSO4tm	Malate:sulfate antiport, mitochondrial	Transport, mitochondrial		R-ATH-1614546; R-CEL-1614546; R-DDI-1614546; R-DME-1614546; R-DRE-1614546; R-GGA-1614546; R-HSA-1614546; R-MMU-1614546; R-OSA-1614546; R-RNO-1614546; R-SCE-1614546; R-TGU-1614546; R-XTR-1614546	1000
MALtm	Malate transport  mitochondrial	Transport, mitochondrial		R-ATH-372843; R-CEL-372843; R-DDI-372843; R-DME-372843; R-DRE-372843; R-GGA-372843; R-GGA-372852; R-HSA-372843; R-MMU-372843; R-OSA-372843; R-RNO-372843; R-SCE-372843; R-TGU-372843; R-XTR-372843	1000
MALTSULtm	Malate:thiosulfate antiport, mitochondrial	Transport, mitochondrial			1000
MALTt1r	Maltose transport (uniport)	Transport, extracellular			0
MANt1r	Mannose transport (uniport)	Transport, extracellular			-0
MAOLNOR	Monoamine oxidase (L-Normetanephrine)	Tyrosine metabolism			0
MAOX	Methylamine:oxygen oxidoreductase (deaminating) (copper-containing)	Tyrosine metabolism	R06154		0
MELATNOX	Melatonin:NADP oxidoreductase	Tryptophan metabolism			-0
METAT	Methionine adenosyltransferase	Methionine and cysteine metabolism	R00177	R-ATH-174391; R-ATH-5603114; R-BTA-174391; R-BTA-5603114; R-CEL-174391; R-CFA-174391; R-CFA-5603114; R-DDI-174391; R-DDI-5603114; R-DME-174391; R-DRE-174391; R-DRE-5603114; R-GGA-174391; R-HSA-174391; R-HSA-5603114; R-MMU-174391; R-MMU-5603114; R-OSA-174391; R-OSA-5603114; R-PFA-174391; R-RNO-174391; R-RNO-5603114; R-SCE-174391; R-SPO-174391; R-SSC-174391; R-SSC-5603114; R-TGU-174391; R-XTR-174391; R-XTR-5603114	0
METS	Methionine synthase	Methionine and cysteine metabolism	R00946		0
METt4	L-methionine transport in via sodium symport	Transport, extracellular			0
METtec	L-methionine transport via diffusion (extracellular to cytosol)	Transport, extracellular			0
MI1345PP	D-myo-Inositol 1,3,4,5-tetrakisphosphate 5-phosphohydrolase	Inositol phosphate metabolism			0
MI134PP	D-myo-Inositol 1,3,4-trisphosphate 1-phosphohydrolase	Inositol phosphate metabolism			0
MI145PP	D-myo-Inositol-1,4,5-trisphosphate 5-phosphohydrolase	Inositol phosphate metabolism			0
MI14PP	D-myo-Inositol-1,4-bisphosphate 1-phosphohydrolase	Inositol phosphate metabolism			0
MI1PS	Myo Inositol 1 phosphate synthase	Inositol phosphate metabolism			1000
MI34PP	D-myo-Inositol-3,4-bisphosphate 4-phosphohydrolase	Inositol phosphate metabolism			0
MMEm	Methylmalonyl-CoA epimerase/racemase	Valine, leucine, and isoleucine metabolism	R02765	R-BTA-71020; R-CEL-71020; R-CFA-71020; R-DDI-71020; R-DRE-71020; R-GGA-71020; R-HSA-71020; R-MMU-71020; R-RNO-71020; R-SSC-71020; R-TGU-71020; R-XTR-71020	-1000
MMMm	Methylmalonyl-CoA mutase	Valine, leucine, and isoleucine metabolism	R00833	R-BTA-71010; R-CEL-71010; R-CFA-71010; R-DDI-71010; R-DRE-71010; R-GGA-71010; R-HSA-71010; R-MMU-71010; R-RNO-71010; R-SSC-71010; R-TGU-71010; R-XTR-71010	1000
MTAP	5  methylthioadenosine phosphorylase	Arginine and proline metabolism	R01402	R-BTA-1237160; R-CEL-1237160; R-CFA-1237160; R-DME-1237160; R-DRE-1237160; R-GGA-1237160; R-HSA-1237160; R-MMU-1237160; R-RNO-1237160; R-SCE-1237160; R-SPO-1237160; R-SSC-1237160; R-TGU-1237160; R-XTR-1237160	-0
MTHFCm	Methenyltetrahydrifikate cyclohydrolase  mitochondrial	Folate metabolism	R01655	R-ATH-6801462; R-BTA-6801462; R-CFA-6801462; R-DDI-6801462; R-DME-6801462; R-DRE-6801462; R-GGA-6801462; R-HSA-6801462; R-MMU-6801462; R-OSA-6801462; R-RNO-6801462; R-SCE-6801462; R-SSC-6801462; R-TGU-6801462; R-XTR-6801462	838.927287691157
MTHFDm	Methylenetetrahydrofolate dehydrogenase  NADP   mitochondrial	Folate metabolism	R01220		838.927287691157
N3Tg	N-acetylgalactosamine 3-beta-galactosyltransferase, Golgi apparatus	O-glycan metabolism	R05908		0
NABTNO	N4 AcetylaminobutanalNAD oxidoreductase	Arginine and proline metabolism	R05050		-0
NACASPAH	N-Acetyl-L-aspartate amidohydrolase	Alanine and aspartate metabolism	R00488	R-BTA-5691507; R-CFA-5691507; R-DRE-5691507; R-GGA-5691507; R-HSA-5691507; R-MMU-5691507; R-RNO-5691507; R-SSC-5691507; R-TGU-5691507; R-XTR-5691507	0
NACHEX10ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX11ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX12ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX13ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX14ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX15ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX16ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX17ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX18ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX19ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX1ly	Beta-N-acetylhexosaminidase, lysosomal	Chondroitin sulfate degradation			0
NACHEX20ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX21ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX22ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX23ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX24ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX25ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX26ly	Beta-N-acetylhexosaminidase, lysosomal	Keratan sulfate degradation			0
NACHEX27ly	Beta-N-acetylhexosaminidase, lysosomal	Hyaluronan metabolism			0
NACHEX2ly	Beta-N-acetylhexosaminidase, lysosomal	Chondroitin sulfate degradation			0
NACHEX3ly	Beta-N-acetylhexosaminidase, lysosomal	Chondroitin sulfate degradation			0
NACHEX4ly	Beta-N-acetylhexosaminidase, lysosomal	Chondroitin sulfate degradation			0
NACHEX5ly	Beta-N-acetylhexosaminidase, lysosomal	Chondroitin sulfate degradation			0
NACHEX6ly	Beta-N-acetylhexosaminidase, lysosomal	Chondroitin sulfate degradation			0
NACHEX7ly	Beta-N-acetylhexosaminidase, lysosomal	Chondroitin sulfate degradation			0
NACHEX8ly	Beta-N-acetylhexosaminidase, lysosomal	Chondroitin sulfate degradation			0
NACHEX9ly	Beta-N-acetylhexosaminidase, lysosomal	Chondroitin sulfate degradation			0
NACHEXA10ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA11ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA12ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA13ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA14ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA15ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA16ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA17ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA18ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA19ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA1ly	Beta-N-acetylhexosaminidase A, lysosomal	Chondroitin sulfate degradation			0
NACHEXA20ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA21ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA22ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NACHEXA2ly	Beta-N-acetylhexosaminidase A, lysosomal	Chondroitin sulfate degradation			0
NACHEXA3ly	Beta-N-acetylhexosaminidase A, lysosomal	Chondroitin sulfate degradation			0
NACHEXA4ly	Beta-N-acetylhexosaminidase A, lysosomal	Chondroitin sulfate degradation			0
NACHEXA5ly	Beta-N-acetylhexosaminidase A, lysosomal	Chondroitin sulfate degradation			0
NACHEXA6ly	Beta-N-acetylhexosaminidase A, lysosomal	Chondroitin sulfate degradation			0
NACHEXA7ly	Beta-N-acetylhexosaminidase A, lysosomal	Chondroitin sulfate degradation			0
NACHEXA8ly	Beta-N-acetylhexosaminidase A, lysosomal	Chondroitin sulfate degradation			0
NACHEXA9ly	Beta-N-acetylhexosaminidase A, lysosomal	Keratan sulfate degradation			0
NADNe	NAD nucleosidase,extracellular	NAD metabolism	R00102	R-BTA-8870346; R-BTA-8938076; R-CFA-8870346; R-CFA-8938076; R-GGA-8870346; R-GGA-8938076; R-HSA-8870346; R-HSA-8938076; R-MMU-8870346; R-MMU-8938076; R-RNO-8870346; R-RNO-8938076; R-SSC-8870346; R-SSC-8938076; R-TGU-8870346; R-TGU-8938076; R-XTR-8870346; R-XTR-8938076	-0
NADPHtxu	NADPH transport, glyoxysome	Transport, peroxisomal			0
NADPNe	NADP nucleosidase,extracellular	NAD metabolism			0
NADPtxu	NADP transport, glyoxysome	Transport, peroxisomal			-0
NAGA2ly	N-acetylgalactosaminidase, alpha-	Keratan sulfate degradation			0
NAGAly	N-acetylgalactosaminidase, alpha-	Sphingolipid metabolism			-0
NaKt_1	Na+/K+ Exchanging ATPase	Transport, extracellular		R-BTA-936897; R-CFA-936897; R-DRE-936897; R-GGA-936897; R-HSA-936897; R-MMU-936897; R-RNO-936897; R-SSC-936897; R-XTR-936897	0
NAt	Sodium transport (uniport)	Transport, extracellular		R-BTA-2671885; R-BTA-2672334; R-BTA-2730664; R-BTA-3295580; R-BTA-5576895; R-CEL-2671885; R-CEL-2730664; R-CEL-3295580; R-CFA-2671885; R-CFA-2672334; R-CFA-2730664; R-CFA-3295580; R-CFA-5576895; R-DME-2730664; R-DME-3295580; R-DRE-2671885; R-DRE-3295580; R-DRE-5576895; R-GGA-2671885; R-GGA-2672334; R-GGA-2730664; R-GGA-3295580; R-GGA-5576895; R-HSA-2671885; R-HSA-2672334; R-HSA-2730664; R-HSA-3295580; R-HSA-5576895; R-MMU-2671885; R-MMU-2672334; R-MMU-2730664; R-MMU-3295580; R-MMU-5576895; R-RNO-2671885; R-RNO-2672334; R-RNO-2730664; R-RNO-3295580; R-RNO-5576895; R-SSC-2671885; R-SSC-2672334; R-SSC-3295580; R-SSC-5576895; R-TGU-2671885; R-TGU-2672334; R-TGU-2730664; R-TGU-3295580; R-XTR-2671885; R-XTR-2672334; R-XTR-2730664; R-XTR-3295580; R-XTR-5576895	1000
NAt5	Sodium/ammonium proton antiporter	Transport, extracellular			-1000
NCCt	Na+-Cl- cotransport	Transport, extracellular		R-BTA-426130; R-CEL-426130; R-CFA-426130; R-DME-426130; R-DRE-426130; R-GGA-426130; R-HSA-426130; R-MMU-426130; R-RNO-426130; R-SCE-426130; R-TGU-426130; R-XTR-426130	0
NCKt	Na+/Ca2+-K+ exchange	Transport, extracellular		R-BTA-2534148; R-BTA-425678; R-BTA-5626316; R-CEL-425678; R-CFA-425678; R-CFA-5626316; R-DME-425678; R-DME-5626316; R-DRE-425678; R-DRE-5626316; R-GGA-425678; R-GGA-5626316; R-HSA-2514891; R-HSA-425678; R-HSA-5626316; R-MMU-425678; R-MMU-5626316; R-RNO-425678; R-RNO-5626316; R-SSC-425678; R-SSC-5626316; R-TGU-425678; R-TGU-5626316; R-XTR-425678; R-XTR-5626316	0
NCNt	Na+/Ca2+-NH4+ exchange	Transport, extracellular			-1000
NDP10ex	Nucleoside-diphosphatase (IDP), extracellular	Nucleotide interconversion	R00961	R-BTA-2509816; R-CFA-2509816; R-DRE-2509816; R-GGA-2509816; R-HSA-2509816; R-MMU-2509816; R-RNO-2509816; R-SSC-2509816; R-XTR-2509816	0
NDP3ex	Nucleoside-diphosphatase (GDP), extracellular	Nucleotide interconversion	R00328		-0
NDP7er	Nucleoside-diphosphatase (UDP), endoplasmic reticulum	Nucleotide interconversion	R00155		-0
NDP7ex	Nucleoside-diphosphatase (UDP), extracellular	Nucleotide interconversion	R00155		0
NDP7g	Nucleoside-diphosphatase (UDP), Golgi apparatus	Nucleotide interconversion	R00155		0
NDP8ex	Nucleoside-diphosphatase (UTP), extracellular	Nucleotide interconversion	R00159		0
NDPK4n	Nucleoside-diphosphate kinase (ATP:dTDP), nuclear	Nucleotide interconversion	R02093		-331.906871124166
NDPK6n	Nucleoside-diphosphate kinase (ATP:dUDP), nuclear	Nucleotide interconversion	R02331		-1000
NDPK8m	Nucleoside-diphosphate kinase, mitochondria	Nucleotide interconversion	R01137		33.789964657254
NDPK9n	Nucleoside-diphosphate kinase (ATP:IDP), nuclear	Nucleotide interconversion	R00722		1000
NH4t3r	Ammonia transport via proton antiport	Transport, extracellular		R-BTA-444393; R-BTA-444419; R-BTA-446277; R-BTA-446278; R-CEL-444393; R-CEL-444419; R-CEL-446277; R-CEL-446278; R-CFA-444393; R-CFA-444419; R-CFA-446277; R-CFA-446278; R-DDI-444393; R-DDI-444419; R-DDI-446277; R-DDI-446278; R-DME-444393; R-DME-444419; R-DME-446277; R-DME-446278; R-DRE-444393; R-DRE-444419; R-DRE-446277; R-DRE-446278; R-GGA-444393; R-GGA-444419; R-GGA-446277; R-GGA-446278; R-HSA-444393; R-HSA-444419; R-HSA-446277; R-HSA-446278; R-MMU-444393; R-MMU-444419; R-MMU-446277; R-MMU-446278; R-RNO-444393; R-RNO-444419; R-RNO-446277; R-RNO-446278; R-SSC-444393; R-SSC-446277; R-TGU-444393; R-TGU-444419; R-TGU-446277; R-TGU-446278; R-XTR-444393; R-XTR-444419; R-XTR-446277; R-XTR-446278	-1000
NH4tn	Ammonia nuclear transport	Transport, nuclear		R-BTA-444416; R-CEL-444416; R-CFA-444416; R-DDI-444416; R-DME-444416; R-DRE-444416; R-GGA-444416; R-HSA-444416; R-MMU-444416; R-RNO-444416; R-SSC-444416; R-TGU-444416; R-XTR-444416	-1000
NKCC2t	Na+-K+-Cl- cotransport (NH4+)	Transport, extracellular			-1000
NKCCt	Na+-K+-Cl- cotransport	Transport, extracellular		R-BTA-426086; R-CEL-426086; R-CFA-426086; R-DME-426086; R-DRE-426086; R-GGA-426086; R-HSA-426086; R-MMU-426086; R-RNO-426086; R-SCE-426086; R-SSC-426086; R-TGU-426086; R-XTR-426086	-291.627326041357
NMNATm	Nicotinamide nucleotide adenylyltransferase  mitochondrial	NAD metabolism	R00137	R-ATH-8939959; R-BTA-8939959; R-CEL-8939959; R-CFA-8939959; R-DDI-8939959; R-DRE-8939959; R-GGA-8939959; R-HSA-8939959; R-MMU-8939959; R-OSA-8939959; R-RNO-8939959; R-SCE-8939959; R-SPO-8939959; R-SSC-8939959; R-TGU-8939959; R-XTR-8939959	535.91432943848
NMNATn	Nicotinamide-nucleotide adenylyltransferase	NAD metabolism	R00137	R-ATH-8939959; R-BTA-8939959; R-CEL-8939959; R-CFA-8939959; R-DDI-8939959; R-DRE-8939959; R-GGA-8939959; R-HSA-8939959; R-MMU-8939959; R-OSA-8939959; R-RNO-8939959; R-SCE-8939959; R-SPO-8939959; R-SSC-8939959; R-TGU-8939959; R-XTR-8939959	0
NMNAT	Nicotinamide-nucleotide adenylyltransferase	NAD metabolism	R00137	R-ATH-8939959; R-BTA-8939959; R-CEL-8939959; R-CFA-8939959; R-DDI-8939959; R-DRE-8939959; R-GGA-8939959; R-HSA-8939959; R-MMU-8939959; R-OSA-8939959; R-RNO-8939959; R-SCE-8939959; R-SPO-8939959; R-SSC-8939959; R-TGU-8939959; R-XTR-8939959	-1000
NMNS	NMN synthetase	NAD metabolism	R01271		-0
NNATn	ATP:nicotinamide-nucleotide adenylyltransferase, nucleus	NAD metabolism	R03005	R-ATH-197235; R-ATH-200474; R-ATH-200512; R-BTA-197235; R-BTA-200474; R-BTA-200512; R-CEL-197235; R-CFA-197235; R-CFA-200474; R-CFA-200512; R-DDI-197235; R-DDI-200474; R-DDI-200512; R-DME-200474; R-DME-200512; R-DRE-197235; R-DRE-200474; R-DRE-200512; R-GGA-197235; R-GGA-200474; R-GGA-200512; R-HSA-197235; R-HSA-200474; R-HSA-200512; R-MMU-197235; R-MMU-200474; R-MMU-200512; R-OSA-197235; R-OSA-200474; R-OSA-200512; R-RNO-197235; R-RNO-200474; R-RNO-200512; R-SCE-197235; R-SCE-200474; R-SCE-200512; R-SPO-197235; R-SPO-200474; R-SPO-200512; R-SSC-197235; R-SSC-200474; R-SSC-200512; R-TGU-197235; R-TGU-200474; R-TGU-200512; R-XTR-197235; R-XTR-200512	0
NNMT	Nicotinamide N methyltransferase	NAD metabolism	R01269		0
NORANMT	Noradrenaline N-methyltransferase	Tyrosine metabolism			0
NP1	Nucleotide phosphatase	NAD metabolism	R02295		0
NRPPHRtu	Norepinephrine uniport	Transport, extracellular		R-BTA-374896; R-CEL-374896; R-CFA-374896; R-DME-374896; R-DRE-374896; R-GGA-374896; R-HSA-351604; R-HSA-374896; R-HSA-374919; R-MMU-374896; R-RNO-374896; R-SSC-374896; R-TGU-374896; R-XTR-374896	0
NRPPHRVESSEC_1	Secretion of Noradrenaline  via Secretory Vesicle (ATP Driven)	Transport, extracellular			0
NS26T2g	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase	O-glycan metabolism			0
NS26Tg	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase	O-glycan metabolism	R05911		0
NTD12	5'-nucleotidase (dIMP)	Nucleotide interconversion			-0
NTD1m	5'-nucleotidase (dUMP),mitochondrial	Nucleotide interconversion	R02102		0
NTD2l	5'-nucleotidase (UMP), lysosome	Pyrimidine catabolism	R00963		0
NTD4e	5'-nucleotidase (CMP), extracellular	Nucleotide interconversion	R00511		0
NTD4l	5'-nucleotidase (CMP), lysosome	Pyrimidine catabolism	R00511		0
NTD5l	5'-nucleotidase (dTMP), lysosomal	Pyrimidine catabolism	R01569		0
NTD5m	5'-nucleotidase (dTMP), mitochondrial	Nucleotide interconversion	R01569		0
NTD7e	5'-nucleotidase (AMP), extracellular	Nucleotide interconversion	R00183	R-BTA-109415; R-CFA-109415; R-DRE-109415; R-GGA-109415; R-HSA-109415; R-MMU-109415; R-RNO-109415; R-SSC-109415; R-TGU-109415; R-XTR-109415	0
NTD7l	5'-nucleotidase (AMP), lysosome	Purine catabolism	R00183	R-BTA-109415; R-CFA-109415; R-DRE-109415; R-GGA-109415; R-HSA-109415; R-MMU-109415; R-RNO-109415; R-SSC-109415; R-TGU-109415; R-XTR-109415	0
NTD9e	5'-nucleotidase (GMP), extracellular	Nucleotide interconversion	R01227		-0
NTD9l	5'-nucleotidase (GMP), lysosome	Purine catabolism	R01227		0
NTP3e	Nucleoside-triphosphatase (GTP)	Nucleotide interconversion	R00335		-0
